 Category ,Course Code,Title of the Course,Description,Language,Link 1,Link 2 (if SP)
Leadership / Leadership Essentials,LE011,Agility and Flexibility in Organizations,"You’ve come up with a great strategy for your next project. You know it’s going to guarantee that new car design you’ve been working on is the next big thing. And, what do you know, it pays off. Naturally, when your next project rolls around, you want to try the same thing. Except, this time, it doesn’t work so well. You and your team are left feeling deflated, wondering why it wasn’t as successful this time around.

Knowing when to apply flexibility and agility in an organization helps everyone adapt quickly when it’s time to make a change. But there are important differences between being flexible and being agile, especially in relation to the business you work for. When you know these differences, it’s easier to see when you need flexibility or agility, and when you need both.

By the end of this course, you’ll be able to:

• Describe the difference between agility and flexibility
• Describe how agility can be used in different areas of the business you work for
• Explain how flexibility can help businesses overcome challenges

Why take this course?

Everyone can benefit from learning more about agility and flexibility in organizations. By the end of this course, you’ll know the clear differences between them. You’ll see just how important agility is across different business areas. And you’ll learn how flexibility is crucial for overcoming problems and challenges in a business.
",EN,,
... / Technology / Artificial Intelligence Essentials,AIE18,AI for Accessibility,"It’s vitally important that every reasonable measure is taken to ensure that as many people as possible can access digital content. That’s a big and very time-consuming job, and one you absolutely have to get right. ChatGPT is a great tool to help with this, both by directly helping individuals access content and creating content that’s more accessible.

This course will help you identify ways ChatGPT can be used to help those with disabilities access digital content, such as text-to-speech, and to make content more accessible. It’ll also outline the limitations of using tools like ChatGPT in this way. Each video will cover a specific topic, so you can choose exactly what you want to learn, at a pace that suits you.

By the end of the course, you’ll be able to:

• Identify ways in which ChatGPT can be used to assist individuals with disabilities access digital content
• Recognize the limitations of using ChatGPT for accessibility in digital content
• List uses for ChatGPT in making content more accessible

Why take this course?

This course is for UX designers, learning designers, digital-content creators, and marketing professionals who want to improve the accessibility of their content. It’ll show you how ChatGPT can assist with access to digital content and help you recognize its limitations. You’ll also see how ChatGPT can make content more accessible. To get the most out of this course, you’ll need access to a computer and ChatGPT Plus.
",EN,https://horenso.talentlms.com/plus/catalog/courses/1262,
Marketing / Marketing Skills Mastery,MSM08,AI-Powered Copy,"Imagine this scenario: a brilliant copywriter sits down to compose a synopsis for a training course. They type a quick 30-word description of what the training needs to cover. Then they click a button – and hey presto, their computer generates a 500-word document. 

It might not have advanced to the highest levels of sophistication – yet – but this is pretty much how AI copywriting software works… and that’s what this course is all about. Was it written by a human or a robot? Well, that would be telling. AI-powered copy is already a part of the media landscape – from landing pages to blog posts, and from press releases to digital ads. It’s time to find out how AI copywriting tools work, and how they can be useful to you and your organization.

By the end of this course, you’ll be able to:

• Describe the benefits of using AI-powered copywriting tools to help create content
• Debate the limitations of AI-powered copywriting tools
• Question which AI-powered copywriting tool would be suitable for your needs

Why take this course?

AI-powered copywriting tools might not be sophisticated enough to produce extended pieces of flawless content, but they do have much to offer. If marketing executives and managers (and the copywriters working for them) are smart about using these new tools, they stand to benefit in terms of time saved and inspiration gained.

",EN,https://horenso.talentlms.com/plus/catalog/courses/791,
Compliance and Safety / Compliance Essentials,CME05,Anti-Bribery Practices,"Bribery is a term you’re likely to associate with those classic black-and-white mobster films, right? But when applied to our modern lives, it’s actually a term that businesses need to be familiar with, too.

Bribery in the workplace involves an employee or associated person accepting or issuing a bribe in order to gain a business advantage for either themselves or their organization. It’s more common than you might think and can be used by individuals to achieve targets and business deals which they might not be able to achieve through normal business conduct. For example, an employee might issue a bribe to another member of staff in order to gain a promotion there weren’t legitimately in the running for.

In actuality, anti-bribery compliance makes up an important part of a company’s protocol. But to avoid liability, companies worldwide must implement adequate measures.

By the end of this course, you’ll be able to:

• Define what is meant by bribery, including who can be responsible
• Recognize how to spot the signs that bribery might be taking place
• Demonstrate ways to reduce the risk of bribery and corruption in the workplace

Why take this course?

Bribery is an illegal and unethical practice that could pose a serious risk to your organization, so it’s essential to have the right training in place. This course is for business professionals in any industry who want to promote a fair and safe environment for their workforce. It will ensure staff can identify potential bribery situations and follow correct procedures to demonstrate compliance.",EN,https://horenso.talentlms.com/plus/catalog/courses/202,
Compliance and Safety / Financial Compliance,FC007,Anti-Corruption,"In business, it’s important to do things by the book. But sometimes, corruption can find a way to sneak in through the back door and ruin everything. Unfortunately, there are many different types of corruption that can cause severe problems for a business and bring a brand into question, which can affect everyone in the company in a negative way. Corruption is a serious problem. Everyone should be able to recognise corruption so we can all start to tackle it.

There are many ways you can identify when corruption may be a problem inside your workplace, and also steps you, personally, can take to prevent it from happening in your role. This course will help you to combat corruption and have a plan in place to help protect the business you work for.

By the end of this course, you’ll be able to:

• Identify the different types of potential corruption within an organization
• Take simple steps to minimize the risks of corruption within your team
• Carry out effective risk assessments in your role to safeguard and promote transparency

Why take this course?

This course is for businesses, employees, or anyone working on behalf of an organization that wants to take steps to prevent corruption. It'll help you become aware of the different types of corruption and show you how an effective risk-assessment plan can make all the difference.
",EN,https://horenso.talentlms.com/plus/catalog/courses/830,
Compliance and Safety / Compliance Essentials,CME06,Anti-Money Laundering,"As organizations increase in size and complexity, the opportunities for money laundering grow too. At the same time, regulators are becoming more watchful. In recent years, they’ve imposed penalties that ran into the billions. They even ordered companies closed. The risks of AML noncompliance have never been greater.

The specifics vary by jurisdiction but there are steps that all organizations can take. Written policies and training give you a head start. Developing a culture of AML compliance helps, too. This produces a risk-averse environment which greatly reduces exposure to the dangers.

By the end of this course, you’ll be able to:

• Identify the risks of money laundering
• Highlight key components of an AML program
• Outline strategies and practices to implement AML

Why take this course?

The risks of poorly implemented AML policies are real and serious. Understanding those risks and building an awareness of effective strategies to mitigate them is vital in the current environment. Anyone responsible for an organization that could be exposed will benefit from this course.
",EN,https://horenso.talentlms.com/plus/catalog/courses/203,
... / Customer Service / Customer Service Mastery,CSM02,Anticipating Customers' Needs,"There are many reasons why customers remain loyal to a brand. But ultimately, customers won’t want to part ways with a brand that is able to meet all of their needs. Especially the ones they weren’t even aware of. But doing this successfully means you need to get inside their heads.

Luckily, you don’t need to be a mind reader to anticipate your customers’ needs. There are easier and more realistic ways to understand who your customers are and what they need from you. This kind of insight will allow you to make sure your customers have a positive experience that will ensure they return.

By the end of this course, you’ll be able to:

•Define why anticipating customers’ needs is important
•Explain how data can be used to understand who customers are and what they need
•Choose techniques to identify your customers’ needs and start putting them first

Why take this course?

Everyone working for a brand or organization has a part to play in making sure each customer’s journey is a positive one. This course will make sure you’re up to speed with how to anticipate your customers’ needs and why it’s important.
",EN,https://horenso.talentlms.com/plus/catalog/courses/759,https://horenso.talentlms.com/plus/catalog/courses/662
Compliance and Safety / Cybersecurity,CS034,Application Security Vulnerabilities,"Before going on vacation, you check all the windows are secured, hide your valuables, and lock your doors. You don’t want to be robbed – no one does! You do these things because you know most thieves will get in through an open window or door, especially if something enticing is on show. You know the common vulnerabilities, and you try to prevent them.

The same is true for your applications. Criminals often attack the same common vulnerabilities in applications to commit cybercrimes. This course will help you understand and manage application vulnerabilities to prevent them from being exploited, so you can ensure you’ve secured your cyber windows.

By the end of this course, you’ll be able to:

• Describe why exposing application vulnerabilities is so important
• Understand what lessons can be learned from vulnerabilities
• Use the 5 stages of vulnerability management to prevent applications from being exploited

Why take this course?

No one wants their applications to have a glaring hole in them, ready for someone to exploit. This course will help you recognize common security vulnerabilities to ensure your applications aren’t vulnerable. Suitable for anyone in an IT team or security management, this course will also suggest ways to keep your applications secure to help prevent cybercrime.
",EN,https://horenso.talentlms.com/plus/catalog/courses/884,
"

Human Resources / Learning Applied","
LNA09",Applying Adaptive Learning,"Technology is becoming more and more embedded in our lives, and that includes the way we learn. With Artificial Intelligence (AI) becoming more advanced, it was only a matter of time before it entered the learning and development space. And it’s already here. But how can we stay on top of this growing trend and use it to our advantage in our learning solutions?

Adaptive learning makes use of AI to tailor learning to the individual learner. But how does it work, and how do you know if it’s right for your learning intervention? These are key things you must know if you’re considering applying adaptive learning. This course will take you through the potential benefits and core principles of adaptive learning, as well as key considerations to make when thinking about applying it.

By the end of this course, you’ll be able to:

• Recognize potential benefits of adaptive learning
• Explain the core principles of adaptive learning
• Identify key considerations when applying adaptive learning

Why take this course?

Adaptive learning can be a great approach in the right circumstances, by streamlining training for learners based on their individual needs. But to make the most of it, you need to understand how it works, how it could benefit your learners, and what you need to think about if you’re considering applying it. This course is useful for anyone in HR, L&D, or people management, who are responsible for designing learning solutions.
",EN,https://horenso.talentlms.com/plus/catalog/courses/1120,
... / Sales / Sales Methodologies,SMG11,Approach to Inbound and Outbound Sales,"There’s more than 1 way to generate prospective leads. Sometimes, potential new customers will come to you. And other times, you’ll need to seek them out. Both are valid ways to secure business. And they each have their unique strengths. You can even combine both approaches to maximize your chances of attracting new business.

Inbound and outbound sales involve different paths to building customer relationships. That’s why they each require a different approach. Recognizing the differences between them will help you work with existing and new sales strategies. And understanding the steps involved in each approach will help you make the most of either, or both.

By the end of this course, you’ll be able to:

• Recognize the difference between inbound and outbound sales
• Identify the 5 key steps involved in outbound sales
• Define the 4 key steps involved in inbound sales

Why take this course?

Sales representatives, executives, and managers all need to understand the differences in approach to inbound and outbound sales. This course will help you do just that. It’ll also walk you through the key steps involved in each approach.
",EN,https://horenso.talentlms.com/plus/catalog/courses/1072,
Professional Skills / Networking,NTW07,Approaching People and Introductions,"So, the main annual networking event for your industry is just around the corner. You’ve researched the people you most want to talk to, planned what you want to ask, and brushed up on your conversation skills. You’ve even been practicing techniques to help banish shyness, and created a personal elevator pitch that’s going to wow. You’re all set! Or are you?

Knowing who you want to talk to and how you’re going to impress them is crucial for networking. But, unless you know how to get their attention in the 1st place, your amazing elevator pitch might never get heard. So, you need some sharp tactics for approaching and introducing yourself to the right people, too.

By the end of this course, you’ll be able to:

• Identify why body language is as important as words when approaching people
• Recognize the most effective ways to introduce yourself when networking
• Adopt techniques to help you approach people effectively

Why take this course?

Whatever your job, being confident when approaching people and introducing yourself is vital. This course will look at why having the right body language can improve 1st impressions before you even speak. And by using the tips in this course, you’ll be able to develop a style of approaching people, and introducing yourself, that’ll make everyone want to talk to you.
",EN,https://horenso.talentlms.com/plus/catalog/courses/496,
Compliance and Safety / OSHA-Workplace Safety,OWS22,Asbestos Hazard Management,"Lots of things can pose risks to workers. Obvious hazards are everywhere you look, like elevated areas that could be easy to fall off, slippery floors, trailing wires, electricity… The list is endless. But, as well as the risks you can see, you also need to be concerned about the ones you can’t.

The air that we take for granted can easily be contaminated with hazardous particles. And of those, asbestos is one of the most dangerous. It can have devastating effects on employees’ health. So, OSHA, the Occupational Safety and Health Administration, has a set of safety standards that must be complied with, to protect workers from asbestos exposure.

By the end of this course, you’ll be able to:

• Explain the health effects of exposure to asbestos
• Describe how to conduct risk assessments to assess asbestos hazards
• Implement safety procedures to handle asbestos safely and effectively, in accordance with legislation

Why take this course?

As leaders, managers, and health-and-safety managers, it’s your responsibility to make sure asbestos exposure risks are minimized. This course will examine the health risks of asbestos exposure, how to assess the danger, and how to put in place safety procedures.
",EN,https://horenso.talentlms.com/plus/catalog/courses/1198,
... / Coaching / Coaching Essentials,CE005,Asking the Right Questions,"Have you ever been on a date with someone that did nothing but talk about themselves? Yep, we’ve all been there. They may have impressed you with funny stories, but they didn’t ask you any questions or take an interest in your life. Of course, they are not getting another date with you. Because they didn’t earn your trust or respect.

And it’s the same when it comes to coaching. If you don’t take an interest in your employees and find out what makes them tick, they will not feel motivated to work hard for you and will rely on others to fill in the blanks. By asking the right questions, your employees will be engaged and will start to reflect on how they can achieve their goals. This will inspire them to think for themselves and improve their skills.

By the end of this course, you’ll be able to:

• Understand the importance of questions in coaching
• Know what makes a good question, and why
• Use the 5 questions most coaches recommend

Why take this course?

Coaching isn’t just about having a set of correct questions to ask. It’s about asking the right questions, in the right way, at the right time, to help your team members reflect on their actions and make improvements to achieve their goals. Managers or leaders looking to improve their team’s skills through coaching should take this course to understand how to get staff to think from different perspectives and steer their thinking in the right direction.
",EN,https://horenso.talentlms.com/plus/catalog/courses/541,
Leadership / Communication Skills Applied,CA006,Assertive Communication,"Many people feel uncomfortable being assertive in the workplace. Maybe you’ve got an excellent idea you’d like to talk about in your next meeting, but you can’t find the right moment to speak up. Or maybe you’re wondering if it’s ok to ask for a couple of days off, but you’re worried about how your boss will react. The correct approach to these situations calls for polite and assertive behavior.

Being more assertive can help you achieve what you want. We all try to be respectful of other people’s views, but how much respect are you giving your own opinions? Being assertive is about expressing your opinions clearly and calmly, without apologizing for them. This course will show you how.

By the end of this course, you’ll be able to:

•Recognize the link between confidence and being assertive
•Set small goals to become more assertive
•Adopt a more assertive way of communicating

Why take this course?

Whether you’re a leader or a team member, you can enhance your career prospects with assertive communication. No matter what industry you’re in, this course will help you to navigate any situation successfully by helping you to speak respectfully and assertively.
",EN,https://horenso.talentlms.com/plus/catalog/courses/409,
... / Retail / Retail Applied,RA007,Attention to Detail,"Have you ever made a purchase using cash and left the store only to realize you’ve been given the wrong change? That can have implications, not only for the customer, but the individual, store, or company that made the error. Of course, everyone makes mistakes, but it’s important to minimize them as much as possible.

Preventing little mistakes, like giving a customer the wrong change, ultimately comes down to attention to detail. And not paying attention to smaller details can lead to bigger problems than you might think. So, you might find it helpful to learn some hints and tips on how to maximize your attention to detail. And this course will give you just that.

By the end of this course, you’ll be able to:

• Recognize key areas in which attention to detail is important
• Understand potential consequences for failing to pay attention to detail
• Identify methods to improve attention to detail

Why take this course?

Attention to detail is important in every role in retail, though it may be required in different tasks depending on your position. This course will benefit anyone working in retail, from assistants to executives. It’ll help you understand where you most need to pay attention to detail, what could happen if you don’t, and how you can improve.
",EN,https://horenso.talentlms.com/plus/catalog/courses/1281,
Sales & Service / Customer Success,CSS11,Automating Customer Success Tasks,"Customer success is important, so you need to make sure it’s done in the most efficient way possible. You might already know what your customers’ needs are, but have you ever wondered if there’s a way to meet these needs more quickly? After all, if you make customers work harder than they need to, they might not stick around for very long.

When you automate customer success, you use technology to complete tasks that affect your customers. For example, sending them email reminders when it’s time to renew a contract or having self-service tools on your website. This helps speed up customer-related processes and offers your customers an easier time when they’re trying to make the most of a service or product.

On this course, you’ll learn to:

• Identify what automation tools are available and where they can be used
• Explain how to use different automation tools
• Use various automation strategies to enhance customer success

Why take this course?

Automating customer success can create a better customer experience. This course is for customer-success managers, account managers, and anyone working towards enhancing customer success. You’ll learn what automation tool options you have, the best automation methods, and where you can add automation into a business to improve customer success.
",EN,https://horenso.talentlms.com/plus/catalog/courses/1108,
... / Sales / Sales Mastery,SM014,Automating Sales Processes,"You may have started your career in sales thinking it would be all face-to-face or telephone conversations with potential customers, only to find once you start that a significant portion of your time is spent on other tasks, which are important, but don’t actively generate sales. Seems like a waste, right?

Well, there may be a way you can make it more like you imagined, with more time to speak directly with your prospects. By automating certain processes, you can save time that you can direct back to your sales pitches. And by doing this, you may even see a sizable improvement in your sales figures. This course will give you some tips on how to do it.

By the end of this course, you’ll be able to:

• Understand the benefits of automating your sales processes
• Recognize sales processes that are commonly automated
• Identify which of your sales processes would be most effective to automate

Why take this course?

As a salesperson, it makes sense that the more time you have to spend on your actual sales pitches and customers, the more you’ll sell. Automating some of your sales processes can help with that. This course will show you the benefits of automating your sales processes, the most commonly automated processes, and which ones would be of most benefit to you to automate.",EN,https://horenso.talentlms.com/plus/catalog/courses/750,
Compliance and Safety / Cybersecurity,CS042,Automation and Integration,"In the not-too-distant past, keeping virtual business information safe was a time-consuming job. You could spend countless hours stuck in the Groundhog Day of performing endless security updates. Now, automation and integration exist to take some of the leg work out of cybersecurity. But they need to be used carefully to give the best protection.

Automating and integrating security processes isn’t “one size fits all”, and you can’t just “set and forget” it. You need to tailor automation to suit the business, and monitor things closely to make sure no threats get through. But what can you automate, and how do you know it’ll be safe?

By the end of the course, you’ll be able to:

• List the potential uses and associated benefits of automation in security
• Identify the different types of system updates and how to use these to keep your devices secure
• Employ strategies to safely automate and integrate systems

Why take this course?

Using automation and integration correctly is vital for keeping sensitive business systems safe. If you work in IT or systems management, this course is for you. It’ll explain the different automation and integration uses, and strategies, so you can always keep your workplace systems secure.
",EN,https://horenso.talentlms.com/plus/catalog/courses/1271,
Professional Skills / Work Ethic,WET08,Avoiding Distractions,"It’s an amazing world we live in! Anyone can call you at any time on your cell phone! Anyone can email you at your desk! Anyone can text you... wait. Maybe sometimes it’s a distracting world, too. With a dozen things constantly competing for your attention, you might find it harder to focus on the work you need to be doing right now. But you can fix this.

Being able to avoid distractions is a skill you can learn and a muscle you can strengthen. When you become better at it, you’ll be able to start work easily, get into deeper states of concentration, and complete work more efficiently.

By the end of this course, you’ll be able to:

● Identify the dangers of distraction
● Explain the processes that lead to getting distracted
● Implement techniques to help you focus and avoid distractions

Why take this course?

If you’re finding your concentration sliced up by constant interruptions, or you always seem to leave one task in the middle in order to deal with another, you’ll benefit from this course. You’ll learn why it’s so easy to become distracted and how to reduce the impact of distractions.",EN,https://horenso.talentlms.com/plus/catalog/courses/364,
Compliance and Safety / OSHA-Workplace Safety,OWS16,Basic Respiratory Protection,"Unless you practice mindfulness, you probably don’t often think about your breathing. It’s just something we all do. In and out… In and out… Every breath supplies our body with the oxygen needed to keep us alive, without us even thinking about it. Pretty neat, huh? Until something happens that means not enough oxygen gets in…

Without the right equipment, working in environments with insufficient oxygen can be deadly. So, OSHA, the Occupational Safety and Health Administration, have detailed requirements that companies must follow to be compliant. But what are the regulations, and how can you ensure the safety of employees, whatever the oxygen levels?

By the end of this course, you’ll be able to:

• Define the circumstances in which respiratory protection for employees is necessary
• Identify the most appropriate type of respirator for a job
• Use best-practice advice to help design a respiratory protection program

Why take this course?

Making sure your employees can breathe freely, whatever job they’re undertaking, is vital for protecting them from serious harm. For managers, leaders, and H&S personnel, this course will explain the OSHA regulations surrounding respiratory equipment, and how to create a respiratory protection program.
",EN,https://horenso.talentlms.com/plus/catalog/courses/1128,
Personal Development / Presentation Skills,PS010,Becoming a Master Orator,"Public speaking is the act of giving a live speech to an audience. The focus can be on any topic and the reason for doing it might be to educate, entertain, or influence. Addressing an audience allows us to form connections and affect opinions. It’s one of the most important ways of communicating, and one of the most feared!

Being good at public speaking can help advance your career and build your credibility. It’s a skill that can be used in a variety of personal and work-related situations, for example to accept an award, provide training to new members of staff, speak to your customers, or make a speech at a friend’s wedding. This course will help you become a more confident and compelling speaker.

By the end of this course, you’ll be able to:

• Implement eloquent and persuasive speeches
• Use rehearsal techniques to fine-tune presentations
• Engage with your audience more easily

Why take this course?

Communication skills allow us to progress not only in our jobs but in life itself. Knowing how to speak well in front of an audience gives you the opportunity to inform, persuade, influence, and motivate those people. That’s a powerful position to be in. Public speaking is a skill not a talent, so anyone can master it!
",EN,https://horenso.talentlms.com/plus/catalog/courses/518,
